,year,artist,track,time,genre,week,rank,date
5475,2000, Chad Brock,Yes!,3:22,Country,18,50,2000-08-05
5792,2000, Chad Brock,Yes!,3:22,Country,19,53,2000-08-12
6109,2000, Chad Brock,Yes!,3:22,Country,20,59,2000-08-19
279,2000, Chante Moore,Straight Up,3:40,Rock,1,98,2000-10-28
596,2000, Chante Moore,Straight Up,3:40,Rock,2,98,2000-11-04
913,2000, Chante Moore,Straight Up,3:40,Rock,3,97,2000-11-11
1230,2000, Chante Moore,Straight Up,3:40,Rock,4,90,2000-11-18
1547,2000, Chante Moore,Straight Up,3:40,Rock,5,85,2000-11-25
1864,2000, Chante Moore,Straight Up,3:40,Rock,6,83,2000-12-02
2181,2000, Chante Moore,Straight Up,3:40,Rock,7,83,2000-12-09
2498,2000, Chante Moore,Straight Up,3:40,Rock,8,97,2000-12-16
2815,2000, Chante Moore,Straight Up,3:40,Rock,9,98,2000-12-23
223,2000, Chely Wright,It Was,3:51,R&B,1,86,2000-03-04
540,2000, Chely Wright,It Was,3:51,R&B,2,78,2000-03-11
857,2000, Chely Wright,It Was,3:51,R&B,3,75,2000-03-18
1174,2000, Chely Wright,It Was,3:51,R&B,4,72,2000-03-25
1491,2000, Chely Wright,It Was,3:51,R&B,5,71,2000-04-01
1808,2000, Chely Wright,It Was,3:51,R&B,6,69,2000-04-08
2125,2000, Chely Wright,It Was,3:51,R&B,7,64,2000-04-15
2442,2000, Chely Wright,It Was,3:51,R&B,8,75,2000-04-22
2759,2000, Chely Wright,It Was,3:51,R&B,9,85,2000-04-29
3076,2000, Chely Wright,It Was,3:51,R&B,10,98,2000-05-06
261,2000, Chris Cagle,My Love Goes On A...,3:02,Country,1,99,2000-10-21
578,2000, Chris Cagle,My Love Goes On A...,3:02,Country,2,94,2000-10-28
895,2000, Chris Cagle,My Love Goes On A...,3:02,Country,3,94,2000-11-04
1212,2000, Chris Cagle,My Love Goes On A...,3:02,Country,4,87,2000-11-11
1529,2000, Chris Cagle,My Love Goes On A...,3:02,Country,5,84,2000-11-18
1846,2000, Chris Cagle,My Love Goes On A...,3:02,Country,6,83,2000-11-25
2163,2000, Chris Cagle,My Love Goes On A...,3:02,Country,7,76,2000-12-02
2480,2000, Chris Cagle,My Love Goes On A...,3:02,Country,8,76,2000-12-09
2797,2000, Chris Cagle,My Love Goes On A...,3:02,Country,9,79,2000-12-16
3114,2000, Chris Cagle,My Love Goes On A...,3:02,Country,10,83,2000-12-23
3431,2000, Chris Cagle,My Love Goes On A...,3:02,Country,11,91,2000-12-30
4,2000, Christina Aguilera,Come On Over Baby...,3:38,Rock,1,57,2000-08-05
321,2000, Christina Aguilera,Come On Over Baby...,3:38,Rock,2,47,2000-08-12
638,2000, Christina Aguilera,Come On Over Baby...,3:38,Rock,3,45,2000-08-19
955,2000, Christina Aguilera,Come On Over Baby...,3:38,Rock,4,29,2000-08-26
1272,2000, Christina Aguilera,Come On Over Baby...,3:38,Rock,5,23,2000-09-02
1589,2000, Christina Aguilera,Come On Over Baby...,3:38,Rock,6,18,2000-09-09
1906,2000, Christina Aguilera,Come On Over Baby...,3:38,Rock,7,11,2000-09-16
2223,2000, Christina Aguilera,Come On Over Baby...,3:38,Rock,8,9,2000-09-23
2540,2000, Christina Aguilera,Come On Over Baby...,3:38,Rock,9,9,2000-09-30
2857,2000, Christina Aguilera,Come On Over Baby...,3:38,Rock,10,11,2000-10-07
3174,2000, Christina Aguilera,Come On Over Baby...,3:38,Rock,11,1,2000-10-14
3491,2000, Christina Aguilera,Come On Over Baby...,3:38,Rock,12,1,2000-10-21
3808,2000, Christina Aguilera,Come On Over Baby...,3:38,Rock,13,1,2000-10-28
4125,2000, Christina Aguilera,Come On Over Baby...,3:38,Rock,14,1,2000-11-04
4442,2000, Christina Aguilera,Come On Over Baby...,3:38,Rock,15,4,2000-11-11
4759,2000, Christina Aguilera,Come On Over Baby...,3:38,Rock,16,8,2000-11-18
5076,2000, Christina Aguilera,Come On Over Baby...,3:38,Rock,17,12,2000-11-25
5393,2000, Christina Aguilera,Come On Over Baby...,3:38,Rock,18,22,2000-12-02
5710,2000, Christina Aguilera,Come On Over Baby...,3:38,Rock,19,23,2000-12-09
6027,2000, Christina Aguilera,Come On Over Baby...,3:38,Rock,20,43,2000-12-16
6344,2000, Christina Aguilera,Come On Over Baby...,3:38,Rock,21,44,2000-12-23
26,2000, Christina Aguilera,I Turn To You,4:00,Rock,1,50,2000-04-15
343,2000, Christina Aguilera,I Turn To You,4:00,Rock,2,39,2000-04-22
660,2000, Christina Aguilera,I Turn To You,4:00,Rock,3,30,2000-04-29
977,2000, Christina Aguilera,I Turn To You,4:00,Rock,4,28,2000-05-06
1294,2000, Christina Aguilera,I Turn To You,4:00,Rock,5,21,2000-05-13
1611,2000, Christina Aguilera,I Turn To You,4:00,Rock,6,19,2000-05-20
1928,2000, Christina Aguilera,I Turn To You,4:00,Rock,7,20,2000-05-27
2245,2000, Christina Aguilera,I Turn To You,4:00,Rock,8,17,2000-06-03
2562,2000, Christina Aguilera,I Turn To You,4:00,Rock,9,17,2000-06-10
2879,2000, Christina Aguilera,I Turn To You,4:00,Rock,10,17,2000-06-17
3196,2000, Christina Aguilera,I Turn To You,4:00,Rock,11,17,2000-06-24
3513,2000, Christina Aguilera,I Turn To You,4:00,Rock,12,3,2000-07-01
3830,2000, Christina Aguilera,I Turn To You,4:00,Rock,13,3,2000-07-08
4147,2000, Christina Aguilera,I Turn To You,4:00,Rock,14,7,2000-07-15
4464,2000, Christina Aguilera,I Turn To You,4:00,Rock,15,10,2000-07-22
4781,2000, Christina Aguilera,I Turn To You,4:00,Rock,16,17,2000-07-29
5098,2000, Christina Aguilera,I Turn To You,4:00,Rock,17,25,2000-08-05
5415,2000, Christina Aguilera,I Turn To You,4:00,Rock,18,29,2000-08-12
5732,2000, Christina Aguilera,I Turn To You,4:00,Rock,19,29,2000-08-19
6049,2000, Christina Aguilera,I Turn To You,4:00,Rock,20,40,2000-08-26
6366,2000, Christina Aguilera,I Turn To You,4:00,Rock,21,43,2000-09-02
6683,2000, Christina Aguilera,I Turn To You,4:00,Rock,22,50,2000-09-09
11,2000, Christina Aguilera,What A Girl Wants,3:18,Rock,1,71,1999-11-27
328,2000, Christina Aguilera,What A Girl Wants,3:18,Rock,2,51,1999-12-04
645,2000, Christina Aguilera,What A Girl Wants,3:18,Rock,3,28,1999-12-11
962,2000, Christina Aguilera,What A Girl Wants,3:18,Rock,4,18,1999-12-18
1279,2000, Christina Aguilera,What A Girl Wants,3:18,Rock,5,13,1999-12-25
1596,2000, Christina Aguilera,What A Girl Wants,3:18,Rock,6,13,2000-01-01
1913,2000, Christina Aguilera,What A Girl Wants,3:18,Rock,7,11,2000-01-08
2230,2000, Christina Aguilera,What A Girl Wants,3:18,Rock,8,1,2000-01-15
2547,2000, Christina Aguilera,What A Girl Wants,3:18,Rock,9,1,2000-01-22
2864,2000, Christina Aguilera,What A Girl Wants,3:18,Rock,10,2,2000-01-29
3181,2000, Christina Aguilera,What A Girl Wants,3:18,Rock,11,2,2000-02-05
3498,2000, Christina Aguilera,What A Girl Wants,3:18,Rock,12,3,2000-02-12
3815,2000, Christina Aguilera,What A Girl Wants,3:18,Rock,13,3,2000-02-19
4132,2000, Christina Aguilera,What A Girl Wants,3:18,Rock,14,4,2000-02-26
4449,2000, Christina Aguilera,What A Girl Wants,3:18,Rock,15,12,2000-03-04
4766,2000, Christina Aguilera,What A Girl Wants,3:18,Rock,16,11,2000-03-11
5083,2000, Christina Aguilera,What A Girl Wants,3:18,Rock,17,13,2000-03-18
5400,2000, Christina Aguilera,What A Girl Wants,3:18,Rock,18,15,2000-03-25
5717,2000, Christina Aguilera,What A Girl Wants,3:18,Rock,19,18,2000-04-01
6034,2000, Christina Aguilera,What A Girl Wants,3:18,Rock,20,20,2000-04-08
6351,2000, Christina Aguilera,What A Girl Wants,3:18,Rock,21,30,2000-04-15
6668,2000, Christina Aguilera,What A Girl Wants,3:18,Rock,22,40,2000-04-22
6985,2000, Christina Aguilera,What A Girl Wants,3:18,Rock,23,39,2000-04-29
7302,2000, Christina Aguilera,What A Girl Wants,3:18,Rock,24,44,2000-05-06
172,2000, Clay Davidson,Unconditional,3:56,Country,1,97,2000-03-25
489,2000, Clay Davidson,Unconditional,3:56,Country,2,97,2000-04-01
806,2000, Clay Davidson,Unconditional,3:56,Country,3,97,2000-04-08
1123,2000, Clay Davidson,Unconditional,3:56,Country,4,90,2000-04-15
1440,2000, Clay Davidson,Unconditional,3:56,Country,5,83,2000-04-22
1757,2000, Clay Davidson,Unconditional,3:56,Country,6,78,2000-04-29
2074,2000, Clay Davidson,Unconditional,3:56,Country,7,74,2000-05-06
2391,2000, Clay Davidson,Unconditional,3:56,Country,8,69,2000-05-13
2708,2000, Clay Davidson,Unconditional,3:56,Country,9,60,2000-05-20
3025,2000, Clay Davidson,Unconditional,3:56,Country,10,56,2000-05-27
3342,2000, Clay Davidson,Unconditional,3:56,Country,11,54,2000-06-03
3659,2000, Clay Davidson,Unconditional,3:56,Country,12,50,2000-06-10
3976,2000, Clay Davidson,Unconditional,3:56,Country,13,49,2000-06-17
4293,2000, Clay Davidson,Unconditional,3:56,Country,14,55,2000-06-24
4610,2000, Clay Davidson,Unconditional,3:56,Country,15,52,2000-07-01
4927,2000, Clay Davidson,Unconditional,3:56,Country,16,51,2000-07-08
5244,2000, Clay Davidson,Unconditional,3:56,Country,17,51,2000-07-15
5561,2000, Clay Davidson,Unconditional,3:56,Country,18,62,2000-07-22
5878,2000, Clay Davidson,Unconditional,3:56,Country,19,63,2000-07-29
6195,2000, Clay Davidson,Unconditional,3:56,Country,20,83,2000-08-05
252,2000, Clay Walker,"Live, Laugh, Love",4:06,Country,1,95,1999-12-04
569,2000, Clay Walker,"Live, Laugh, Love",4:06,Country,2,95,1999-12-11
886,2000, Clay Walker,"Live, Laugh, Love",4:06,Country,3,94,1999-12-18
1203,2000, Clay Walker,"Live, Laugh, Love",4:06,Country,4,94,1999-12-25
1520,2000, Clay Walker,"Live, Laugh, Love",4:06,Country,5,94,2000-01-01
1837,2000, Clay Walker,"Live, Laugh, Love",4:06,Country,6,95,2000-01-08
2154,2000, Clay Walker,"Live, Laugh, Love",4:06,Country,7,82,2000-01-15
2471,2000, Clay Walker,"Live, Laugh, Love",4:06,Country,8,74,2000-01-22
2788,2000, Clay Walker,"Live, Laugh, Love",4:06,Country,9,79,2000-01-29
3105,2000, Clay Walker,"Live, Laugh, Love",4:06,Country,10,92,2000-02-05
3422,2000, Clay Walker,"Live, Laugh, Love",4:06,Country,11,98,2000-02-12
155,2000, Clay Walker,The Chain Of Love,5:03,Country,1,73,2000-04-15
472,2000, Clay Walker,The Chain Of Love,5:03,Country,2,65,2000-04-22
789,2000, Clay Walker,The Chain Of Love,5:03,Country,3,57,2000-04-29
1106,2000, Clay Walker,The Chain Of Love,5:03,Country,4,57,2000-05-06
1423,2000, Clay Walker,The Chain Of Love,5:03,Country,5,51,2000-05-13
1740,2000, Clay Walker,The Chain Of Love,5:03,Country,6,48,2000-05-20
2057,2000, Clay Walker,The Chain Of Love,5:03,Country,7,44,2000-05-27
2374,2000, Clay Walker,The Chain Of Love,5:03,Country,8,43,2000-06-03
2691,2000, Clay Walker,The Chain Of Love,5:03,Country,9,40,2000-06-10
3008,2000, Clay Walker,The Chain Of Love,5:03,Country,10,45,2000-06-17
3325,2000, Clay Walker,The Chain Of Love,5:03,Country,11,44,2000-06-24
3642,2000, Clay Walker,The Chain Of Love,5:03,Country,12,53,2000-07-01
3959,2000, Clay Walker,The Chain Of Love,5:03,Country,13,57,2000-07-08
4276,2000, Clay Walker,The Chain Of Love,5:03,Country,14,68,2000-07-15
4593,2000, Clay Walker,The Chain Of Love,5:03,Country,15,71,2000-07-22
4910,2000, Clay Walker,The Chain Of Love,5:03,Country,16,81,2000-07-29
5227,2000, Clay Walker,The Chain Of Love,5:03,Country,17,90,2000-08-05
5544,2000, Clay Walker,The Chain Of Love,5:03,Country,18,94,2000-08-12
5861,2000, Clay Walker,The Chain Of Love,5:03,Country,19,94,2000-08-19
6178,2000, Clay Walker,The Chain Of Love,5:03,Country,20,95,2000-08-26
163,2000, Clint Black,Been There,5:28,Country,1,87,2000-02-19
480,2000, Clint Black,Been There,5:28,Country,2,73,2000-02-26
797,2000, Clint Black,Been There,5:28,Country,3,62,2000-03-04
1114,2000, Clint Black,Been There,5:28,Country,4,58,2000-03-11
1431,2000, Clint Black,Been There,5:28,Country,5,58,2000-03-18
1748,2000, Clint Black,Been There,5:28,Country,6,57,2000-03-25
2065,2000, Clint Black,Been There,5:28,Country,7,51,2000-04-01
2382,2000, Clint Black,Been There,5:28,Country,8,47,2000-04-08
2699,2000, Clint Black,Been There,5:28,Country,9,44,2000-04-15
3016,2000, Clint Black,Been There,5:28,Country,10,44,2000-04-22
3333,2000, Clint Black,Been There,5:28,Country,11,44,2000-04-29
3650,2000, Clint Black,Been There,5:28,Country,12,55,2000-05-06
3967,2000, Clint Black,Been There,5:28,Country,13,53,2000-05-13
4284,2000, Clint Black,Been There,5:28,Country,14,53,2000-05-20
4601,2000, Clint Black,Been There,5:28,Country,15,63,2000-05-27
4918,2000, Clint Black,Been There,5:28,Country,16,84,2000-06-03
5235,2000, Clint Black,Been There,5:28,Country,17,85,2000-06-10
5552,2000, Clint Black,Been There,5:28,Country,18,87,2000-06-17
5869,2000, Clint Black,Been There,5:28,Country,19,95,2000-06-24
6186,2000, Clint Black,Been There,5:28,Country,20,100,2000-07-01
160,2000, Collin Raye,Couldn't Last A M...,3:40,Country,1,91,2000-03-18
477,2000, Collin Raye,Couldn't Last A M...,3:40,Country,2,85,2000-03-25
794,2000, Collin Raye,Couldn't Last A M...,3:40,Country,3,75,2000-04-01
1111,2000, Collin Raye,Couldn't Last A M...,3:40,Country,4,73,2000-04-08
1428,2000, Collin Raye,Couldn't Last A M...,3:40,Country,5,67,2000-04-15
1745,2000, Collin Raye,Couldn't Last A M...,3:40,Country,6,63,2000-04-22
2062,2000, Collin Raye,Couldn't Last A M...,3:40,Country,7,63,2000-04-29
2379,2000, Collin Raye,Couldn't Last A M...,3:40,Country,8,63,2000-05-06
2696,2000, Collin Raye,Couldn't Last A M...,3:40,Country,9,56,2000-05-13
3013,2000, Collin Raye,Couldn't Last A M...,3:40,Country,10,49,2000-05-20
3330,2000, Collin Raye,Couldn't Last A M...,3:40,Country,11,48,2000-05-27
3647,2000, Collin Raye,Couldn't Last A M...,3:40,Country,12,46,2000-06-03
3964,2000, Collin Raye,Couldn't Last A M...,3:40,Country,13,44,2000-06-10
4281,2000, Collin Raye,Couldn't Last A M...,3:40,Country,14,44,2000-06-17
4598,2000, Collin Raye,Couldn't Last A M...,3:40,Country,15,43,2000-06-24
4915,2000, Collin Raye,Couldn't Last A M...,3:40,Country,16,45,2000-07-01
5232,2000, Collin Raye,Couldn't Last A M...,3:40,Country,17,53,2000-07-08
5549,2000, Collin Raye,Couldn't Last A M...,3:40,Country,18,66,2000-07-15
5866,2000, Collin Raye,Couldn't Last A M...,3:40,Country,19,73,2000-07-22
6183,2000, Collin Raye,Couldn't Last A M...,3:40,Country,20,89,2000-07-29
257,2000, Darryl Worley,When You Need My ...,3:35,Country,1,98,2000-06-17
574,2000, Darryl Worley,When You Need My ...,3:35,Country,2,88,2000-06-24
891,2000, Darryl Worley,When You Need My ...,3:35,Country,3,93,2000-07-01
1208,2000, Darryl Worley,When You Need My ...,3:35,Country,4,92,2000-07-08
1525,2000, Darryl Worley,When You Need My ...,3:35,Country,5,85,2000-07-15
1842,2000, Darryl Worley,When You Need My ...,3:35,Country,6,85,2000-07-22
2159,2000, Darryl Worley,When You Need My ...,3:35,Country,7,84,2000-07-29
2476,2000, Darryl Worley,When You Need My ...,3:35,Country,8,80,2000-08-05
2793,2000, Darryl Worley,When You Need My ...,3:35,Country,9,80,2000-08-12
3110,2000, Darryl Worley,When You Need My ...,3:35,Country,10,80,2000-08-19
3427,2000, Darryl Worley,When You Need My ...,3:35,Country,11,80,2000-08-26
3744,2000, Darryl Worley,When You Need My ...,3:35,Country,12,75,2000-09-02
4061,2000, Darryl Worley,When You Need My ...,3:35,Country,13,78,2000-09-09
4378,2000, Darryl Worley,When You Need My ...,3:35,Country,14,86,2000-09-16
4695,2000, Darryl Worley,When You Need My ...,3:35,Country,15,99,2000-09-23
282,2000, Dave Hollister,Can't Stay,6:17,Rock,1,84,2000-03-25
599,2000, Dave Hollister,Can't Stay,6:17,Rock,2,84,2000-04-01
916,2000, Dave Hollister,Can't Stay,6:17,Rock,3,93,2000-04-08
1233,2000, Dave Hollister,Can't Stay,6:17,Rock,4,98,2000-04-15
205,2000, Don Henley,Taking You Home,4:08,Rock,1,79,2000-06-24
522,2000, Don Henley,Taking You Home,4:08,Rock,2,77,2000-07-01
839,2000, Don Henley,Taking You Home,4:08,Rock,3,74,2000-07-08
1156,2000, Don Henley,Taking You Home,4:08,Rock,4,73,2000-07-15
1473,2000, Don Henley,Taking You Home,4:08,Rock,5,66,2000-07-22
1790,2000, Don Henley,Taking You Home,4:08,Rock,6,62,2000-07-29
2107,2000, Don Henley,Taking You Home,4:08,Rock,7,58,2000-08-05
2424,2000, Don Henley,Taking You Home,4:08,Rock,8,58,2000-08-12
2741,2000, Don Henley,Taking You Home,4:08,Rock,9,61,2000-08-19
3058,2000, Don Henley,Taking You Home,4:08,Rock,10,68,2000-08-26
3375,2000, Don Henley,Taking You Home,4:08,Rock,11,71,2000-09-02
3692,2000, Don Henley,Taking You Home,4:08,Rock,12,71,2000-09-09
4009,2000, Don Henley,Taking You Home,4:08,Rock,13,79,2000-09-16
4326,2000, Don Henley,Taking You Home,4:08,Rock,14,83,2000-09-23
4643,2000, Don Henley,Taking You Home,4:08,Rock,15,85,2000-09-30
4960,2000, Don Henley,Taking You Home,4:08,Rock,16,87,2000-10-07
5277,2000, Don Henley,Taking You Home,4:08,Rock,17,83,2000-10-14
5594,2000, Don Henley,Taking You Home,4:08,Rock,18,90,2000-10-21
5911,2000, Don Henley,Taking You Home,4:08,Rock,19,87,2000-10-28
6228,2000, Don Henley,Taking You Home,4:08,Rock,20,87,2000-11-04
118,2000, Donell Jones,Where I Wanna Be,6:22,Rock,1,81,2000-04-22
435,2000, Donell Jones,Where I Wanna Be,6:22,Rock,2,71,2000-04-29
752,2000, Donell Jones,Where I Wanna Be,6:22,Rock,3,65,2000-05-06
1069,2000, Donell Jones,Where I Wanna Be,6:22,Rock,4,50,2000-05-13
1386,2000, Donell Jones,Where I Wanna Be,6:22,Rock,5,41,2000-05-20
1703,2000, Donell Jones,Where I Wanna Be,6:22,Rock,6,41,2000-05-27
2020,2000, Donell Jones,Where I Wanna Be,6:22,Rock,7,36,2000-06-03
2337,2000, Donell Jones,Where I Wanna Be,6:22,Rock,8,41,2000-06-10
2654,2000, Donell Jones,Where I Wanna Be,6:22,Rock,9,38,2000-06-17
2971,2000, Donell Jones,Where I Wanna Be,6:22,Rock,10,35,2000-06-24
3288,2000, Donell Jones,Where I Wanna Be,6:22,Rock,11,33,2000-07-01
3605,2000, Donell Jones,Where I Wanna Be,6:22,Rock,12,29,2000-07-08
3922,2000, Donell Jones,Where I Wanna Be,6:22,Rock,13,36,2000-07-15
4239,2000, Donell Jones,Where I Wanna Be,6:22,Rock,14,34,2000-07-22
4556,2000, Donell Jones,Where I Wanna Be,6:22,Rock,15,34,2000-07-29
4873,2000, Donell Jones,Where I Wanna Be,6:22,Rock,16,40,2000-08-05
5190,2000, Donell Jones,Where I Wanna Be,6:22,Rock,17,42,2000-08-12
5507,2000, Donell Jones,Where I Wanna Be,6:22,Rock,18,49,2000-08-19
5824,2000, Donell Jones,Where I Wanna Be,6:22,Rock,19,55,2000-08-26
6141,2000, Donell Jones,Where I Wanna Be,6:22,Rock,20,62,2000-09-02
174,2000, Elton John,Someday Out Of Th...,4:41,Rock,1,56,2000-04-22
491,2000, Elton John,Someday Out Of Th...,4:41,Rock,2,56,2000-04-29
808,2000, Elton John,Someday Out Of Th...,4:41,Rock,3,49,2000-05-06
1125,2000, Elton John,Someday Out Of Th...,4:41,Rock,4,59,2000-05-13
1442,2000, Elton John,Someday Out Of Th...,4:41,Rock,5,67,2000-05-20
1759,2000, Elton John,Someday Out Of Th...,4:41,Rock,6,60,2000-05-27
2076,2000, Elton John,Someday Out Of Th...,4:41,Rock,7,64,2000-06-03
2393,2000, Elton John,Someday Out Of Th...,4:41,Rock,8,73,2000-06-10
2710,2000, Elton John,Someday Out Of Th...,4:41,Rock,9,81,2000-06-17
3027,2000, Elton John,Someday Out Of Th...,4:41,Rock,10,90,2000-06-24
3344,2000, Elton John,Someday Out Of Th...,4:41,Rock,11,93,2000-07-01
3661,2000, Elton John,Someday Out Of Th...,4:41,Rock,12,89,2000-07-08
3978,2000, Elton John,Someday Out Of Th...,4:41,Rock,13,98,2000-07-15
4295,2000, Elton John,Someday Out Of Th...,4:41,Rock,14,94,2000-07-22
4612,2000, Elton John,Someday Out Of Th...,4:41,Rock,15,99,2000-07-29
7,2000, Enrique Iglesias,Be With You,3:36,Latin,1,63,2000-04-01
324,2000, Enrique Iglesias,Be With You,3:36,Latin,2,45,2000-04-08
641,2000, Enrique Iglesias,Be With You,3:36,Latin,3,34,2000-04-15
958,2000, Enrique Iglesias,Be With You,3:36,Latin,4,23,2000-04-22
1275,2000, Enrique Iglesias,Be With You,3:36,Latin,5,17,2000-04-29
1592,2000, Enrique Iglesias,Be With You,3:36,Latin,6,12,2000-05-06
1909,2000, Enrique Iglesias,Be With You,3:36,Latin,7,9,2000-05-13
2226,2000, Enrique Iglesias,Be With You,3:36,Latin,8,8,2000-05-20
2543,2000, Enrique Iglesias,Be With You,3:36,Latin,9,8,2000-05-27
2860,2000, Enrique Iglesias,Be With You,3:36,Latin,10,6,2000-06-03
3177,2000, Enrique Iglesias,Be With You,3:36,Latin,11,5,2000-06-10
3494,2000, Enrique Iglesias,Be With You,3:36,Latin,12,4,2000-06-17
3811,2000, Enrique Iglesias,Be With You,3:36,Latin,13,1,2000-06-24
4128,2000, Enrique Iglesias,Be With You,3:36,Latin,14,1,2000-07-01
4445,2000, Enrique Iglesias,Be With You,3:36,Latin,15,1,2000-07-08
4762,2000, Enrique Iglesias,Be With You,3:36,Latin,16,3,2000-07-15
5079,2000, Enrique Iglesias,Be With You,3:36,Latin,17,11,2000-07-22
5396,2000, Enrique Iglesias,Be With You,3:36,Latin,18,14,2000-07-29
5713,2000, Enrique Iglesias,Be With You,3:36,Latin,19,24,2000-08-05
6030,2000, Enrique Iglesias,Be With You,3:36,Latin,20,28,2000-08-12
128,2000, Enrique Iglesias,Rhythm Divine,7:35,Latin,1,90,1999-12-04
445,2000, Enrique Iglesias,Rhythm Divine,7:35,Latin,2,84,1999-12-11
762,2000, Enrique Iglesias,Rhythm Divine,7:35,Latin,3,79,1999-12-18
1079,2000, Enrique Iglesias,Rhythm Divine,7:35,Latin,4,67,1999-12-25
1396,2000, Enrique Iglesias,Rhythm Divine,7:35,Latin,5,67,2000-01-01
1713,2000, Enrique Iglesias,Rhythm Divine,7:35,Latin,6,39,2000-01-08
2030,2000, Enrique Iglesias,Rhythm Divine,7:35,Latin,7,33,2000-01-15
2347,2000, Enrique Iglesias,Rhythm Divine,7:35,Latin,8,32,2000-01-22
2664,2000, Enrique Iglesias,Rhythm Divine,7:35,Latin,9,38,2000-01-29
2981,2000, Enrique Iglesias,Rhythm Divine,7:35,Latin,10,38,2000-02-05
3298,2000, Enrique Iglesias,Rhythm Divine,7:35,Latin,11,49,2000-02-12
3615,2000, Enrique Iglesias,Rhythm Divine,7:35,Latin,12,51,2000-02-19
3932,2000, Enrique Iglesias,Rhythm Divine,7:35,Latin,13,61,2000-02-26
4249,2000, Enrique Iglesias,Rhythm Divine,7:35,Latin,14,61,2000-03-04
4566,2000, Enrique Iglesias,Rhythm Divine,7:35,Latin,15,66,2000-03-11
4883,2000, Enrique Iglesias,Rhythm Divine,7:35,Latin,16,88,2000-03-18
5200,2000, Enrique Iglesias,Rhythm Divine,7:35,Latin,17,96,2000-03-25
177,2000, Eric Heatherly,Flowers On The Wall,3:16,Country,1,95,2000-04-29
494,2000, Eric Heatherly,Flowers On The Wall,3:16,Country,2,88,2000-05-06
811,2000, Eric Heatherly,Flowers On The Wall,3:16,Country,3,88,2000-05-13
1128,2000, Eric Heatherly,Flowers On The Wall,3:16,Country,4,82,2000-05-20
1445,2000, Eric Heatherly,Flowers On The Wall,3:16,Country,5,82,2000-05-27
1762,2000, Eric Heatherly,Flowers On The Wall,3:16,Country,6,77,2000-06-03
2079,2000, Eric Heatherly,Flowers On The Wall,3:16,Country,7,72,2000-06-10
2396,2000, Eric Heatherly,Flowers On The Wall,3:16,Country,8,67,2000-06-17
2713,2000, Eric Heatherly,Flowers On The Wall,3:16,Country,9,65,2000-06-24
3030,2000, Eric Heatherly,Flowers On The Wall,3:16,Country,10,65,2000-07-01
3347,2000, Eric Heatherly,Flowers On The Wall,3:16,Country,11,65,2000-07-08
3664,2000, Eric Heatherly,Flowers On The Wall,3:16,Country,12,60,2000-07-15
3981,2000, Eric Heatherly,Flowers On The Wall,3:16,Country,13,60,2000-07-22
4298,2000, Eric Heatherly,Flowers On The Wall,3:16,Country,14,53,2000-07-29
